sample_id,timepoint,crop,ID,plot,mgmttype,depth_upper,depth_lower,doc_mgkg,gm_fraction,microbial_biomass_c_mgkg,ammonium_mgkg,nitrate_mgkg,ph,percentN,percentC,calcium_ppm,magnesium_ppm,potentially_mineralizable_c_mgkg,poxc_mgkg,protein_gkg,phosphorus_ppm,sulfur_ppm,cu_ppm,om_percent,suva,sand_percent,silt_percent,clay_percent,bulkdensity
55,TP2,T,1,1_1,LMT,0,15,72.32598375,0.083291267,259.0081765,3.306732165,29.65339505,7.1,0.00126858,0.012557452,2292,2223,46.9,456.6,1882.8,36,8,6.1,3.4,0.024482634,14.7645,63.35,21.9036,1.12
56,TP2,T,2,1_1,LMT,15,60,25.04114701,0.173811743,76.7959904,0,8.285364538,7.6,0.000893288,0.009013245,2158,2332,13.4,331.4,1331.6,7,6,6.7,2.3,0.020188875,13.2628,63.75,23.0305,1.39
57,TP2,T,3,1_1,LMT,60,100,26.48816451,0.162698413,76.58797208,0.525262947,2.141259043,7.8,0.000745047,0.007988161,1957,2812,3.8,258.5,1020,4,6,7.1,2.3,0.011757594,15.7132,61.75,22.4867,1.69
58,TP2,T,7,1_3,CMT,0,15,49.46383627,0.098512057,204.2260268,6.394715468,9.132960204,7.4,0.001101133,0.011835385,2462,2373,28.1,399.2,1462.5,46,11,6,2.4,0.02826858,17.7833,61.58,20.6614,1.09
59,TP2,T,8,1_3,CMT,15,60,25.12424074,0.168421053,80.57209998,2.814233241,4.287493128,7.6,0.000849817,0.009596345,2011,2142,9.5,300.2,1151.5,12,8,5.4,2.6,0.020229991,14.38515,62.795,22.81995,1.6
60,TP2,T,9,1_3,CMT,60,100,20.34031145,0.169863014,51.27851699,0,0,7.8,0.000738161,0.008150986,1950,2791,5,263.7,1047.3,3,4,6.6,2.5,0.007946083,16.3324,59.7,23.9996,1.68
61,TP2,T,13,2_3,OMT,0,15,170.6437138,0.096053257,319.5061579,4.376246148,20.10154001,7.3,0.001717727,0.014854253,2530,1824,52.4,498.3,2393.3,136,19,8.7,3.1,0.0333831,21.84422,59.69,18.4892,1.17
62,TP2,T,14,2_3,OMT,15,60,70.51691692,0.168850806,110.2380228,2.095153993,7.955024393,7.7,0.000925679,0.01222108,2178,2062,13.7,279.3,1398.4,27,17,7.9,2.5,0.028084678,19.14403,60.395,20.44635,1.4
63,TP2,T,15,2_3,OMT,60,100,28.38621054,0.133064516,69.71271458,0.902496169,0.590304839,7.9,0.000629531,0.006258939,1836,2493,3.3,222,1208.3,12,13,6.6,2.5,0.013901101,17.97636,60.37,21.5969,1.69
64,TP2,T,22,4_5,CMT,0,15,46.6569611,0.096884129,178.3489321,0.087749257,8.52829362,7.4,0.001002538,0.010177067,1964,1835,21.6,367.9,1668.1,61,6,5.3,2.3,0.031515293,30.6136,53.42,15.9993,1.08
65,TP2,T,23,4_5,CMT,15,60,26.95897631,0.159894459,77.08802496,0.077832913,2.293449337,7.5,0.000762374,0.008452971,2025,1905,12,279.3,1123.4,13,4,5.7,2.3,0.023467868,31.018,51.855,17.1246,1.47
66,TP2,T,24,4_5,CMT,60,100,16.87122758,0.202863962,95.30690643,0,0.231450058,7.9,0.001004135,0.009763265,1817,1732,5.7,300.2,1204.7,4,5,5.3,1.7,0.011628303,29.878091,51.35,18.7568,1.46
67,TP2,T,28,6_3,LMT,0,15,62.34840723,0.090390105,260.4865993,1.364250656,23.75851211,7,0.001231306,0.01280918,2214,2025,43.3,440.9,1699.9,41,9,6,3.1,0.025058379,20.1935,61.55,18.2439,1.22
68,TP2,T,29,6_3,LMT,15,60,28.11591508,0.161734694,31.09744534,0.357979658,6.253042581,7.4,0.000487139,0.004987336,2106,1957,3.4,206.3,956,21,6,6,2.3,0.023853838,16.420876,64.205,19.36655,1.44
69,TP2,T,30,6_3,LMT,60,100,20.50901702,0.191871456,55.76014663,0.33889139,2.509251218,7.8,0.000719259,0.007975949,2065,2029,5.3,274.1,1186.9,9,8,6.3,2.4,0.01491096,16.0126,61.75,22.2411,1.57
70,TP2,T,31,6_4,OMT,0,15,124.290575,0.076136944,419.3304873,7.442506558,21.25612455,7.3,0.001693839,0.014835267,2579,1778,51.5,493.1,2415.9,153,18,8.5,3.5,0.037719041,24.86134,58.34,16.815,1.29
71,TP2,T,32,6_4,OMT,15,60,52.23591213,0.143002028,145.1624225,0.233420271,7.217225188,7.6,0.001033283,0.010568081,2408,1953,16.1,300.2,1489.1,55,16,7.6,2.3,0.033204595,21.272864,60.1,18.61875,1.445
72,TP2,T,33,6_4,OMT,60,100,29.69344333,0.170144462,69.9403768,0,1.782328024,7.8,0.000722353,0.007150595,2220,2409,5.9,206.3,1169.1,17,12,6.5,2.3,0.019671608,22.4505,58.29,19.2432,1.59
73,TP2,T,37,6_7,LMT,0,15,57.35224021,0.09532539,314.8251887,2.320723398,23.97060941,7,0.001297517,0.013103376,2212,2139,51.8,420.1,1711.9,59,8,5.8,3.3,0.030538234,20.1935,61.55,18.2439,1.22
74,TP2,T,38,6_7,LMT,15,60,30.12469261,0.162880619,98.41696544,0.059198367,14.9289056,7.6,0.000906029,0.009944545,2080,2083,14.3,294.9,1276.7,11,6,6.4,2.4,0.025003724,16.420876,64.205,19.36655,1.385
