,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
132,2_4,LMT,2001,Tomato,2141.5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
133,4_4,LMT,2001,Tomato,2645.5689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
134,4_5,CMT,2001,Maize,0,6691.458661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
135,5_5,CMT,2001,Tomato,3593.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
136,6_3,LMT,2001,Maize,0,5523.991667,1568.52,154.94,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
137,6_4,OMT,2001,Maize,0,6004.076115,1542.84,123.66,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
138,6_5,OMT,2001,Tomato,2775.8088,0,1104.15,86.87,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
139,6_7,LMT,2001,Maize,0,5796.4,1631.8,168.01,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
140,6_8,OMT,2001,Maize,0,6107.884908,1735.41,147.14,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
141,6_9,LMT,2001,Tomato,3125.3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
142,7_8,CMT,2001,Tomato,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
143,8_8,OMT,2001,Tomato,3121.0236,0,1204.84,82.17,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
144,8_9,CMT,2001,Maize,0,6573.621654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
145,1_1,LMT,2002,Tomato,2121.3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
146,1_2,OMT,2002,Maize,0,5745.956955,1769.17,154.32,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
147,1_3,CMT,2002,Tomato,2527.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5949844,50.43825,149.0685666,50.43825
148,1_4,CMT,2002,Maize,0,5588.840945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.520916,50.43825,20.511555,50.43825
149,2_3,OMT,2002,Tomato,1977.4764,0,1260.27,104.52,0,0,4,16.7,1.79,1.88,1.4,4420,1497.4556,168.57584,125.5352,39.633256,160.50572,0,0,0,0
150,2_4,LMT,2002,Maize,0,4254.625,1099.75,83.35,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
151,4_4,LMT,2002,Maize,0,5195.416667,1362.28,117.62,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
