sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
151,TP4,C,2_4,LMT,0,15,15,275.4803524,89.69,,0.67,0.73,0.95,0.24,0.24,5.9,3.49,0.57,1.9,,1.82,10.17,3.59,,13.3,6.79,,0.81,0.46,1.24,1.35,0.88,2.32,0.45,0.65,0.38,0.28,0.46,4.79,5.78,10.07,1.29,0.57,,1.3,,,2.74,0.93,0.8,,,0.54,0.48,0.2,,,,0.26,,0.3,0.918
152,TP4,C,2_4,LMT,15,60,45,67.82271647,25.85,,,,,,,1.79,1.34,,0.78,,0.42,1.74,0.65,,7.01,,3.18,0.47,,0.53,0.56,,0.67,,0.72,,,,0.56,1.25,1.52,0.29,,,0.53,,,1.27,0.3,,,,,0.25,,,,,,,,1.672
153,TP4,C,2_4,LMT,60,100,40,34.10709168,14.2,,,,,,,0.65,0.64,,0.47,,,0.83,,,5.99,,1.69,0.35,,0.3,,,,,0.64,,,,0.36,0.62,0.75,,,,,,,0.56,,,,,,,0.34,,,,,,,2.366
154,TP4,C,4_4,LMT,0,15,15,409.7088614,96.22,,0.85,0.8,1.12,0.24,0.3,6.42,3.81,0.66,2.16,,2.08,10.37,4.26,,14.09,6.87,,0.75,0.52,1.36,1.43,0.91,2.55,0.49,0.59,0.44,0.54,0.42,5.9,6.38,10.3,1.31,0.64,,1.24,,,3.02,0.95,0.44,,,0.67,0.49,,,0.22,,0.3,,0.33,0.927
155,TP4,C,4_4,LMT,15,60,45,89.92833457,28.6,,,0.23,,,,2.45,1.53,,0.79,,0.5,1.74,0.84,,7,,3.98,0.64,,0.64,0.64,,0.69,0.19,0.66,,,,0.33,1.68,1.5,0.37,,,0.57,,,1.39,,,,,,0.25,,,,,,,,1.925
156,TP4,C,4_4,LMT,60,100,40,22.72770451,15.41,,,,,,,1.14,0.8,,0.53,,,0.74,0.26,,5.46,,2.06,0.38,,0.38,0.33,,0.36,,0.78,,,,,0.8,0.58,,,,0.34,,,0.47,,,,,,,,,,,,,,3.133
157,TP4,T,4_5,CMT,0,15,15,183.9610581,55.22,0.48,0.38,0.5,0.57,,,4.2,2.4,0.35,1.28,,1.2,5.68,2.23,,8.48,5.27,,0.6,0.34,0.94,0.98,0.63,1.53,0.36,0.51,0.28,,0.32,1.62,3.83,5.13,0.57,0.35,,0.83,,,2.01,0.44,0.17,,,,0.34,,,,,0.22,,0.21,1.15
158,TP4,T,4_5,CMT,15,60,45,44.25967266,22.47,0.67,,,,,,1.69,1.14,,0.64,,0.38,1.26,0.5,,6.12,,3.06,0.52,,0.49,0.5,,0.54,,0.6,,,,,1.14,0.96,0.29,,,0.49,,,1.05,,,,,,0.23,0.22,,,,,,,2.086
159,TP4,T,4_5,CMT,60,100,40,23.60515636,14.46,,,,,,,1.11,0.72,,0.51,,,0.59,,,4.75,,2.19,0.43,,0.38,0.35,,0.34,,0.83,,,,,0.88,0.42,,,,,,,0.5,,,,,,,0.44,,,,,,,3.76
160,TP4,C,5_5,CMT,0,15,15,150.2024902,42.55,,0.25,0.37,0.27,,,3.22,1.81,0.27,1,,0.72,3.73,1.42,,8.83,,4.46,0.73,,0.71,0.76,0.36,1.15,0.26,0.59,0.22,,,1.19,2.7,3.23,0.53,0.24,,0.71,,,1.61,0.23,,,,,0.36,0.25,,,,0.19,,0.19,1.341
161,TP4,C,5_5,CMT,15,60,45,60.22360475,23.87,,,,,,,1.82,1.19,,0.6,,0.42,1.33,0.6,,6.9,,3.11,0.52,,0.49,0.5,,0.51,,0.62,,,,0.29,1.3,1.18,0.28,,,0.49,,,1.13,,,,,,0.28,0.34,,,,,,,1.995
162,TP4,C,5_5,CMT,60,100,40,26.22218535,13.31,,,,,,,0.86,0.65,,0.44,,,0.74,,,5.12,,1.99,0.47,,0.34,0.29,,,,0.7,,,,,0.65,0.36,,,,,,,0.49,,,,,,,0.23,,,,,,,3.762
163,TP4,T,6_3,LMT,0,15,15,228.5035786,85.82,,0.6,0.68,0.97,0.24,0.22,6.04,3.39,0.57,2.05,,1.75,8.48,3.18,,13.02,,7.18,0.84,0.49,1.37,1.46,0.9,2.31,0.49,0.76,0.41,0.28,0.4,3.76,6.03,8.37,1.41,0.52,0.24,1.41,,,2.94,0.73,0.29,0.18,,0.43,0.5,0.21,,0.17,,0.27,,0.29,1.065
164,TP4,T,6_3,LMT,15,60,45,77.91192171,26.59,,,0.28,,,,2.3,1.36,,0.72,,0.46,1.73,0.76,,6.12,,3.73,0.72,,0.57,0.62,,0.71,,0.6,,,,0.27,1.56,1.49,0.35,,,0.59,,,1.4,,,,,,0.23,,,,,,,,1.821
165,TP4,T,6_3,LMT,60,100,40,31.48750177,14.29,,,,,,,0.93,0.66,,0.48,,,0.87,0.22,,4.38,,2.21,0.42,,0.36,0.34,,0.26,,0.68,,,,0.25,0.7,0.5,,,,0.38,,,0.66,,,,,,,,,,,,,,2.833
